"Stored data is read directly by offer.api. Has a cron which generates a daily specials document and uploads it to s3.
Fetches market lines from sport engine to process print specials.","offer.api (https://www.notion.so/offer-api-627459f031a745bb8d39fb85aa0fe488), offer.sport.engine (https://www.notion.so/offer-sport-engine-3e8b22327a5e42adb2c044241f42bf09)","Consumer, Cron, Engine, HTTP Client, Redis, S3",offer.specials.engine,,,Production,High,Betting,"Consumes SuperSoft specials and saves them to redis, to be used by offer.api.",3
"Print engine is deployed only for SB_RO. To get all the translations when importing specials into supersoft, it fetches them from trading.translations.api.",trading.translations.api (https://www.notion.so/trading-translations-api-4ba0428c68e343878edef479a6a34de8),"Consumer, DynamoDB, Engine, HTTP Client, Supersoft Integration",offer.specials.print-engine,,,Production,Medium,Trading,Imports parts of regular sports offer as specials to Supersoft.,3
Stored data is read directly by offer.api.,"offer.api (https://www.notion.so/offer-api-627459f031a745bb8d39fb85aa0fe488), offer.specials.engine (https://www.notion.so/offer-specials-engine-30fa6f25c1774aaa94c7c883a1d77149)","Batcher, Consumer, Cron, Engine, HTTP Server, Producer, Redis",offer.sport.engine,Filip Reškov,,Production,Critical,"Betting, Incubator, Trading",Processes the offer topic and saves prepared offer to Redis.,4
,,,offer.sport.predictor,,,Abandoned,None,,,
,offer.api (https://www.notion.so/offer-api-627459f031a745bb8d39fb85aa0fe488),"Consumer, Engine, HTTP Client, SSE Server",offer.sport.streaming-api,Antonio Benc,,Production,Critical,"Betting, Incubator, Trading","Serves offer to clients via SSE. If it fails, clients will not have the latest Offer data and will not be able to place bets.",2
,offer.print.sport-engine (https://www.notion.so/offer-print-sport-engine-918d98589dfa4e0082e591936196e51f),"Consumer, Engine, Producer, Redis, gRPC Server",offer.supersoft.pregame-engine,Filip Reškov,,Production,High,Trading,"Processes Supersoft sport messages and transforms them into the Offer contract. If it fails, events priced in Supersoft may cause issues and restrictions information may not be available. ",3
,structure.player.importer (https://www.notion.so/structure-player-importer-37d17d7810d74bf5aeedc24e34470017),"Consumer, DynamoDB, ElasticSearch, Engine, Producer, gRPC Server",structure.player.api,Anton Ružman,,Production,Medium,Trading,Handles structure player mappings and universal player data.,3
,structure.player.api (https://www.notion.so/structure-player-api-d5f526dea27f469ba5cbb4bbf773c54d),"Consumer, Engine, gRPC Client",structure.player.importer,Anton Ružman,,Production,Low,Trading,Imports external player information and imports it into the structure players database.,1
,,"Consumer, Engine, Producer, Redis",swish.adapter,,,Production,Medium,Trading,Processes raw Swish data and converts it into universal event feed.,3
,,"Cron, HTTP Client, HTTP Server, Producer, Redis, Swish Integration",swish.importer,,,Production,Medium,Trading,Fetches event data from Swish using a cron job. Sends data to kafka topic and uses redis for meta storage.,3
,,"Consumer, Cron, Engine, Producer, Redis",trading.betgenius.adapter,,,Production,Medium,Trading,Processes raw Betgenius data and converts it into universal event feed.,3
,,"BetGenius Integration, HTTP Client, HTTP Server",trading.betgenius.api,,,Unknown,Unknown,Trading,Forwards event booking requests to BetGenius.,1
,,"BetGenius Integration, Cron, HTTP Client",trading.betgenius.autobooking,,,Unknown,Unknown,Trading,Automatically books events for configured sports with BetGenius.,1
,trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10),"BetGenius Integration, HTTP Client, HTTP Server, Producer",trading.betgenius.importer,,,Production,Medium,Trading,Receives HTTP requests from BetGenius and produces the data into feed topic.,1
,trading.betradar.api (https://www.notion.so/trading-betradar-api-668677f369b2477197513c985f48cda0),"Consumer, Cron, Engine, HTTP Client, Producer, Redis",trading.betradar.adapter,,,Production,High,Trading,Processes raw Betradar data and converts it into universal event feed.,3
,"trading.master.engine (https://www.notion.so/trading-master-engine-b9a6f1c36d914cc8806cc8abf8d334a5), trading.struct.api (https://www.notion.so/trading-struct-api-8c6306c7c9d049ccb1dc857ef7c77da7), trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10), trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56), trading.betradar.adapter (https://www.notion.so/trading-betradar-adapter-3a7440b5dd5b4686a550832929ae53f3), trading.betradar.resulter (https://www.notion.so/trading-betradar-resulter-2feba49671eb4387be1b3058647efedd), trading.betradar.scheduler (https://www.notion.so/trading-betradar-scheduler-92818e3678d240ddae08b186747094fe)","Betradar Integration, HTTP Server, Producer",trading.betradar.api,,,Production,High,Trading,Fetches event data from Betradar and produces it into the feed topic or returns it as http response.,2
,,"Betradar Integration, Cron, HTTP Client",trading.betradar.autobooking,,,Unknown,Unknown,Trading,Automatically books events for specific sports with Betradar.,1
,,"Betradar Integration, Java",trading.betradar.importer,,,Production,High,Trading,Imports raw betradar feed data and produces it into a kafka topic.,
,trading.betradar.api (https://www.notion.so/trading-betradar-api-668677f369b2477197513c985f48cda0),"Cron, HTTP Client, Producer",trading.betradar.resulter,,,Production,Low,Trading,Periodically checks if event results have changed and produces them as kafka messages.,1
,"trading.betradar.api (https://www.notion.so/trading-betradar-api-668677f369b2477197513c985f48cda0), trading.master.api (https://www.notion.so/trading-master-api-a8734f94102040fb8860c08bba8cd51a)","Cron, HTTP Client, Producer",trading.betradar.scheduler,,,Unknown,Unknown,Trading,Periodically schedules missing events with Betradar based on configuration.,1
,,UI,trading.bookie.dashboard,,,Production,High,Trading,,
,,,trading.events.alerts,,,Abandoned,None,,,
Fetches competitor data from struct API. Produces into both universal and bookie event feed.,"trading.struct.api (https://www.notion.so/trading-struct-api-8c6306c7c9d049ccb1dc857ef7c77da7), trading.events.tracer (https://www.notion.so/trading-events-tracer-5520f1dd672b4885bf30be9168a71b38), trading.struct.web-ui (https://www.notion.so/trading-struct-web-ui-a5b76861e1704973b058e719804c90bb), trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56), trading.suggestions.engine (https://www.notion.so/trading-suggestions-engine-c154cdc68e5a4ec1a66a7ebea735f360)","Cron, HTTP Client, HTTP Server, Producer, Redis",trading.events.api,,,Production,High,Trading,Creates triggers for various fixture changes and overrides.,2
,trading.outrights.codes-engine (https://www.notion.so/trading-outrights-codes-engine-3ec0a08b079b41d48e7e43b1db596b75),"Cron, MySQL, gRPC Server",trading.events.codes-api,,,Production,Low,Trading,Generates and keeps track of entering code usage.,1
Uses trading offer api to get event status when transferring mappings.,trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10),"Consumer, Engine, HTTP Client, MySQL, Producer, Redis, Supersoft Integration",trading.events.engine,,,Production,High,Trading,Maintains fixture state.,4
,,,trading.events.kickoffer,,,Abandoned,None,,,
,,,trading.events.notifications,,,Development,,,,
,,,trading.events.requester,,,Abandoned,None,,,
,trading.events.api (https://www.notion.so/trading-events-api-d79f7b8046654cf580761b0d91ac88e0),"Consumer, Engine, HTTP Client",trading.events.tracer,,,Production,Low,Trading,Consumer bookie feed and updates event data in trading.events.api.,1
,,"Consumer, Engine, Producer",trading.exefeed.adapter,,,Production,Medium,Trading,Processes raw exefeed data and produces universal event messages.,2
Exefeed data is received through http server.,,"ExeFeed Integration, HTTP Server, Producer",trading.exefeed.importer,,,Production,Medium,Trading,Receives exefeed event data and produces it into a kafka topic.,1
,,"Consumer, Cron, Engine, Producer, Redis",trading.hubble.adapter,,,Production,High,Trading,Processes raw hubble data and produces universal event messages.,2
,,,trading.hubble.api,,,Development,,,,
,,,trading.hubble.api-market-engine,,,Development,,,,
,,"Consumer, DynamoDB, Engine, HTTP Server, Producer, Websockets",trading.hubble.availability-api,,,Production,Medium,Trading,Serves live updates to UI for cashout and gamestate. Provides endpoints for trader interactions with model.,2
,,,trading.hubble.connector,,,Unknown,Unknown,,,
,,,trading.hubble.gamestate-engine,,,Development,,,,
,,,trading.hubble.offer-api,,,Development,,,,
,,,trading.hubble.rts-detector,,,Development,,,,
,,"Consumer, Engine, Producer, Redis",trading.hubble.superbets-adapter,,,Production,Medium,Trading,Processes raw hubble data and produces universal event messages.,2
,,UI,trading.hubble.web-ui,,,Production,Medium,Trading,,
It’s actually just a bash script in infrastructure repo deployed as a k8s cron job.,,Cron,trading.logging.elasticsearch-cleaner,,,Production,Low,Trading,Deletes old documents from elasticsearch.,1
Not proprietary.,,,trading.logging.elasticsearch-exporter,,,Production,Medium,Trading,"Exports feed, offer and bookie topic data to elasticsearch.",
,,,trading.logging.master-logger,,,Abandoned,None,,,
,,,trading.logging.offer-logger,,,Abandoned,None,,,
"Imports trading.master.engine as dependency for redis client.
Uses trading.offer.api to get event status for merge preview.","trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10), trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56), trading.streaming.api (https://www.notion.so/trading-streaming-api-f1cffb51bbb64cef89b3f78dfbd0bb8b), trading.betradar.scheduler (https://www.notion.so/trading-betradar-scheduler-92818e3678d240ddae08b186747094fe)","HTTP Client, HTTP Server, Producer, Redis",trading.master.api,,,Production,Medium,Trading,"Performs fixture support actions like transferring mappings, retrieving mappings from master engine storage, retrieving all event ids from a specific feed, etc. ",1
"Needs to be replaced with a generic solution if json topics are needed.
Skips hubble and iosport messages.
Struct topic uses tombstones for deletion. This service ignores nil messages.",,"Consumer, Engine, Producer",trading.master.converter,,,Production,Unknown,Trading,"Converts universal event feed, bookie struct feed and bookie event feed into json formats. Guess it’s for hubble since it skips hubble messages.",1
"Processes fixture competitor data which may have an overlap with trading.events.engine. Heavily depends on the distinction between superbet feed ID and others.
Internal message handler for structure creation which communicates with betradar api and struct api.","trading.betradar.api (https://www.notion.so/trading-betradar-api-668677f369b2477197513c985f48cda0), trading.struct.api (https://www.notion.so/trading-struct-api-8c6306c7c9d049ccb1dc857ef7c77da7)","Consumer, Cron, Engine, HTTP Client, Internal Queue, Producer, Redis",trading.master.engine,,,Production,Critical,Trading,Maps universal message ids to superbet ids. Merges event data with structure. Forwards fixtures from event feed to bookie event feed.,3
,,,trading.master.outage-notifier,,,Abandoned,None,,,
,,,trading.notifications.api,,,Abandoned,None,,,
,,,trading.notifications.kafka2slack,,,Development,None,,,
,,"Consumer, DynamoDB, Engine, Slack",trading.notifications.notifier,,,Production,Low,,Verifies offer state and generates notifications.,2
,,,trading.notifications.web-ui,,,Abandoned,None,Trading,,
Imports trading.offer.engine code for storage. Fetches market templates from struct API for market template union recalculation.,"trading.master.api (https://www.notion.so/trading-master-api-a8734f94102040fb8860c08bba8cd51a), trading.events.engine (https://www.notion.so/trading-events-engine-7f57d2ad8d484d5da6cd2a722c662100), trading.struct.web-ui (https://www.notion.so/trading-struct-web-ui-a5b76861e1704973b058e719804c90bb), trading.offer.api-ws (https://www.notion.so/trading-offer-api-ws-3b1f4d4affae41bc990c17c981eccc3e), trading.offer.archive-api (https://www.notion.so/trading-offer-archive-api-2bbcb29d2a9d45e7974e99e9e84bb38e), trading.betradar.api (https://www.notion.so/trading-betradar-api-668677f369b2477197513c985f48cda0), trading.offer.engine (https://www.notion.so/trading-offer-engine-c8ef9b524053415e8d540f539342c52b), trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56), offer.print.sport-engine (https://www.notion.so/offer-print-sport-engine-918d98589dfa4e0082e591936196e51f), offer.specials.code-engine (https://www.notion.so/offer-specials-code-engine-5837eee59f724107802ab6e404c89719), trading.outrights.codes-engine (https://www.notion.so/trading-outrights-codes-engine-3ec0a08b079b41d48e7e43b1db596b75), trading.outrights.feed (https://www.notion.so/trading-outrights-feed-96f7c96a8c5640d396738079c9038de5), trading.streaming.api (https://www.notion.so/trading-streaming-api-f1cffb51bbb64cef89b3f78dfbd0bb8b), trading.supergames.engine (https://www.notion.so/trading-supergames-engine-5cba1f8a19944eab90a88e09d2d80b18), trading.betgenius.importer (https://www.notion.so/trading-betgenius-importer-4e4cfd066fbe4583a5dd6844062a78ad)","HTTP Client, HTTP Server, Internal Queue, Producer, Redis, Websockets",trading.offer.api,,,Production,Critical,Trading,Has many various offer state manipulation tools.,3
,"trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10), trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56)",Websockets,trading.offer.api-ws,,,Production,High,Trading,Serves websocket connections for Trading UI users with live updates.,2
,"trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10), trading.offer.engine (https://www.notion.so/trading-offer-engine-c8ef9b524053415e8d540f539342c52b)","HTTP Server, S3",trading.offer.archive-api,,,Production,Low,Trading,Stores old events to an S3 bucket.,1
Imports audit engine as dependency.,"trading.offer.audit-engine (https://www.notion.so/trading-offer-audit-engine-21535c02eb0846c6a5fa1f5d05fa2233), trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56)","ElasticSearch, HTTP Server",trading.offer.audit-api,,,Production,Low,Trading,Fetches historical offer data from elasticsearch.,2
,trading.offer.audit-api (https://www.notion.so/trading-offer-audit-api-c0ceaf69d57b463197f9b950070f314c),"Consumer, Cron, ElasticSearch, Engine",trading.offer.audit-engine,,,Production,Low,Trading,Stores offer data into elasticsearch.,1
,"trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10), trading.offer.archive-api (https://www.notion.so/trading-offer-archive-api-2bbcb29d2a9d45e7974e99e9e84bb38e)","Consumer, Cron, Engine, HTTP Client, Producer, Redis",trading.offer.engine,,,Production,Critical,Trading,Composes offer.,5
,,,trading.offer.settler,,,Abandoned,None,,"Tracks which events had reassigned IDs and copies market update messages for those events. Since reassignment is not used anymore, it has not purpose.",
,,"Consumer, Engine",trading.offer.tracer,,,Production,Low,Trading,Monitors message age at different points in the pipeline.,1
,"trading.struct.api (https://www.notion.so/trading-struct-api-8c6306c7c9d049ccb1dc857ef7c77da7), trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10), trading.offer.api-ws (https://www.notion.so/trading-offer-api-ws-3b1f4d4affae41bc990c17c981eccc3e), trading.offer.audit-api (https://www.notion.so/trading-offer-audit-api-c0ceaf69d57b463197f9b950070f314c), trading.traders.api (https://www.notion.so/trading-traders-api-b1fc176f88b741049c991362ddcf8d2c), trading.master.api (https://www.notion.so/trading-master-api-a8734f94102040fb8860c08bba8cd51a), trading.streaming.api (https://www.notion.so/trading-streaming-api-f1cffb51bbb64cef89b3f78dfbd0bb8b), trading.betradar.api (https://www.notion.so/trading-betradar-api-668677f369b2477197513c985f48cda0), trading.events.api (https://www.notion.so/trading-events-api-d79f7b8046654cf580761b0d91ac88e0), trading.outrights.feed (https://www.notion.so/trading-outrights-feed-96f7c96a8c5640d396738079c9038de5), trading.price.api (https://www.notion.so/trading-price-api-8b02ead64f3f4690b88f2efc6771d081)",UI,trading.offer.web-ui,,,Production,Critical,Trading,Everything Trading UI,
,,,trading.opta.adapter,,,Development,,Trading,,
,,,trading.opta.importer,,,Development,,Trading,,
,,,trading.opta.scheduler,,,Development,,Trading,,
,"trading.events.codes-api (https://www.notion.so/trading-events-codes-api-f710aae7ca414182b7349e00f7161bdb), trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10)","Consumer, DynamoDB, Engine, HTTP Client, gRPC Client",trading.outrights.codes-engine,,,Production,Low,,Tracks outright market lines from bookie event feed and assigns entering codes to them.,2
Uses consumer only for bet stop mechanism.,"trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56), trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10)","Consumer, DynamoDB, Engine, HTTP Client, HTTP Server, Producer",trading.outrights.feed,Anton Ružman,,Production,Low,Trading,Provides tools for managing outright events.,3
,,"Consumer, DynamoDB, Engine, HTTP Server, Websockets",trading.params.api,,,Production,Medium,Trading,Serves model params data to UI.,2
Shares trading.price.core library with trading.offer.engine.,"trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56), trading.supergames.engine (https://www.notion.so/trading-supergames-engine-5cba1f8a19944eab90a88e09d2d80b18)",HTTP Server,trading.price.api,,,Production,Medium,Trading,Performs price calculations used by Trading UI.,2
,trading.rbac.web-ui (https://www.notion.so/trading-rbac-web-ui-4539b32d1f404c749b423c63fe906fe7),"Cognito, HTTP Server",trading.rbac.api,,,Production,Low,Trading,Handles user and permission related actions for RBAC.,2
,trading.rbac.web-ui (https://www.notion.so/trading-rbac-web-ui-4539b32d1f404c749b423c63fe906fe7),"DynamoDB, HTTP Server",trading.rbac.role-api,,,Production,Low,,Handles RBAC roles setup.,1
,"trading.rbac.api (https://www.notion.so/trading-rbac-api-74925671afe9468287ccb0ab8cd72c52), trading.rbac.role-api (https://www.notion.so/trading-rbac-role-api-7ae5db031bb9453b92e122e8d261068a)",UI,trading.rbac.web-ui,,,Production,Low,Trading,RBAC UI.,
,,,trading.specials.adapter,,,Abandoned,None,,,
Direct integration with streaming providers. Contains target based hacks.,"trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56), trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10), trading.master.api (https://www.notion.so/trading-master-api-a8734f94102040fb8860c08bba8cd51a)","BetGenius Integration, Betradar Integration, Cron, HTTP Client, HTTP Server, Redis",trading.streaming.api,,,Production,Low,Trading,Fetches streaming information from stream providers.,2
Direct integration with streaming providers.,,"Cron, HTTP Client, IMG Integration, Infront Integration, Perform Integration, Redis",trading.streaming.engine,,,Production,Low,Trading,Fetches streaming information from stream providers.,2
Direct connection to trading betradar api. Single replica in deployment.,"trading.master.engine (https://www.notion.so/trading-master-engine-b9a6f1c36d914cc8806cc8abf8d334a5), trading.events.api (https://www.notion.so/trading-events-api-d79f7b8046654cf580761b0d91ac88e0), trading.betradar.api (https://www.notion.so/trading-betradar-api-668677f369b2477197513c985f48cda0), trading.struct.competitors-tracer (https://www.notion.so/trading-struct-competitors-tracer-9b940548b3104845969d7b678780f234), trading.struct.web-ui (https://www.notion.so/trading-struct-web-ui-a5b76861e1704973b058e719804c90bb), trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56), trading.templates.api (https://www.notion.so/trading-templates-api-c066d888457d4dddbf5f95e6856b4faf)","HTTP Client, HTTP Server, MySQL, Producer, Supersoft Integration",trading.struct.api,,,Production,High,Trading,Maintains structure and template state. Syncs structure data to SuperSoft and back.,3
Imports audit engine as dependency.,"trading.struct.audit-engine (https://www.notion.so/trading-struct-audit-engine-1135447197424aae80c236a8993de09a), trading.struct.web-ui (https://www.notion.so/trading-struct-web-ui-a5b76861e1704973b058e719804c90bb)","ElasticSearch, HTTP Server",trading.struct.audit-api,,,Production,Low,Trading,Fetches historical structure data from elasticsearch.,1
,trading.struct.audit-api (https://www.notion.so/trading-struct-audit-api-da2a3305e2134c0fa1a93fb47fadb8e6),"Consumer, Cron, ElasticSearch, Engine",trading.struct.audit-engine,,,Production,Low,Trading,Imports bookie struct messages into elasticsearch.,1
,trading.struct.api (https://www.notion.so/trading-struct-api-8c6306c7c9d049ccb1dc857ef7c77da7),"Consumer, HTTP Client",trading.struct.competitors-tracer,,,Production,Low,Trading,Tracks which competitors appeared in which tournament based on bookie feed fixture data. Uses struct API to save data.,1
,,,trading.struct.requester,,,Abandoned,None,,,
Models are copied from struct API and need to be updated each time something changes.,,"MySQL, Producer",trading.struct.supplier,,,Production,Low,Trading,Reads structure data from storage and produces it into bookie struct topic. Needs to be manually triggered.,2
,"trading.struct.api (https://www.notion.so/trading-struct-api-8c6306c7c9d049ccb1dc857ef7c77da7), trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10), trading.struct.audit-api (https://www.notion.so/trading-struct-audit-api-da2a3305e2134c0fa1a93fb47fadb8e6), trading.events.api (https://www.notion.so/trading-events-api-d79f7b8046654cf580761b0d91ac88e0), trading.templates.api (https://www.notion.so/trading-templates-api-c066d888457d4dddbf5f95e6856b4faf)",UI,trading.struct.web-ui,,,Production,High,Trading,Everything Struct UI.,
Imports engine code for access to storage.,trading.suggestions.engine (https://www.notion.so/trading-suggestions-engine-c154cdc68e5a4ec1a66a7ebea735f360),"HTTP Server, MySQL",trading.suggestions.api,,,Production,Unknown,Trading,Serves odd suggestion data read from storage saved by the suggestions engine.,2
,"trading.events.api (https://www.notion.so/trading-events-api-d79f7b8046654cf580761b0d91ac88e0), trading.suggestions.api (https://www.notion.so/trading-suggestions-api-cf8500bc54514547bb84923ceb3c99d5)","Consumer, Cron, Engine, HTTP Client, MySQL",trading.suggestions.engine,,,Production,Unknown,Trading,Stores odd prices provided by feeds.,2
,trading.supergames.engine (https://www.notion.so/trading-supergames-engine-5cba1f8a19944eab90a88e09d2d80b18),"DynamoDB, Producer, gRPC Server",trading.supergames.api,Anton Ružman,,Production,Medium,Trading,"Manages supergames related information. If it fails, market updates are not processed so supergame market state becomes stale.",2
Updates market templates if supergame markets are not found.,"trading.supergames.api (https://www.notion.so/trading-supergames-api-36d9d651d90a4374b73acf342405c05f), trading.price.api (https://www.notion.so/trading-price-api-8b02ead64f3f4690b88f2efc6771d081), trading.offer.api (https://www.notion.so/trading-offer-api-c28cf877b5fc48f7a1285fbe88b7ed10)","Consumer, Engine, HTTP Client, Producer, gRPC Client",trading.supergames.engine,Anton Ružman,,Production,Medium,Trading,Processes offer topics to calculate market updates for supergame markets.,3
,,"Consumer, Engine, HTTP Client, Producer, Supersoft Integration",trading.supergames.supersoft-sync,Anton Ružman,,Production,Low,Trading,Imports supergames information into Supersoft so it is available for printing and restrictions are generated.,1
,,"Cron, MySQL, Producer, Supersoft Integration",trading.supersoft.pregame-adapter,,,Production,Low,Trading,"Fetches fixture information from legacy supersoft database and produces them into the universal event feed. With all the fixtures in Supersoft being imported from Bookie, the only information used from Supersoft are the match entering codes.",2
,"trading.struct.web-ui (https://www.notion.so/trading-struct-web-ui-a5b76861e1704973b058e719804c90bb), trading.struct.api (https://www.notion.so/trading-struct-api-8c6306c7c9d049ccb1dc857ef7c77da7), trading.templates.tracer (https://www.notion.so/trading-templates-tracer-ac08d28f672643c39c28a1a011bbcf4c)","Cron, HTTP Client, HTTP Server, Producer, Redis",trading.templates.api,,,Production,Low,Trading,Provides event market template manipulation tools.,2
,trading.templates.api (https://www.notion.so/trading-templates-api-c066d888457d4dddbf5f95e6856b4faf),"Consumer, Engine, HTTP Client",trading.templates.tracer,,,Production,Low,Trading,Updates event and market template information with trading.templates.api,1
,,,trading.templates.web-ui,,,Abandoned,None,,,
,trading.offer.web-ui (https://www.notion.so/trading-offer-web-ui-29f7a73112d3485a8b7ab79e18ea5a56),"HTTP Server, MySQL, Producer",trading.traders.api,,,Production,Medium,,Manages bookie users’ personalisation data.,2
,offer.specials.print-engine (https://www.notion.so/offer-specials-print-engine-96519ced232b41209b88a25d751a8f33),"Consumer, DynamoDB, Engine, HTTP Server",trading.translations.api,,,Production,Low,Trading,Provides name transformation tools used for importing specials data into Supersoft.,2
,,"Consumer, DynamoDB, Engine, Producer",trading.txodds.adapter,,,Production,Low,Trading,Processes raw txodds data and generates universal event messages.,3
,,,trading.txodds.early-pricing,,,Development,,Trading,,
,,,trading.txodds.event,,,Development,,Trading,,
,,,trading.txodds.event-api,,,Development,,Trading,,
,,"Cron, HTTP Client, MySQL, Producer, TxOdds Integration",trading.txodds.fetcher,,,Production,Low,Trading,Periodically fetches struct data from txodds and writes it into a local txodds struct topic.,2
,,"Consumer, DynamoDB, Engine, HTTP Server",trading.txodds.flush,,,Production,Low,Trading,Consumes raw txodds topic and stores to dynamodb. Has an endpoint to flush those values back to that same topic.,1
,,"Producer, STOMP, TxOdds Integration",trading.txodds.importer,,,Production,Low,Trading,Imports txodds event data and produces to raw txodds kafka topic.,2
,,"Consumer, DynamoDB, Engine",trading.txodds.mappings,,,Production,Low,Trading,Consumes bookie struct feed and stores mappings to txodds.,1
,,"DynamoDB, HTTP Server",trading.txodds.template-api,,,Production,Low,Trading,Stores txodds specific templates.,2
,,UI,trading.txodds.web-ui,,,Production,Low,Trading,TxOdds configuration UI.,
,,,trading.universal.api,,,Development,,,,
